Cow No.,Cow Name,Group No.,Previous Group No.,Group Change Date,Days Since Group Change,Sex,Days In Pregnancy,Insem Date,Breed,Transp. No.,No. of Lact.,Days In Milk,Cull flagged,Birth Date,Age Years,Age Months,Age Days,Group No.,Breeding Status,Breeding State (Code),Preg Check Date,Tot. Milk Yest.,Yield This Week ,Milk Last Month,Milk This Month,Monthly Milk Jan,Monthly Milk Feb,Monthly Milk Mar,Monthly Milk April,Monthly Milk May,Monthly Milk June,Monthly Milk July,Monthly Milk Aug,Monthly Milk Sept,Monthly Milk Oct,Monthly Milk Nov,Monthly Milk Dec,Breeding State,Pregnant,Preg. Check Count,Preg Check Date,Abortion Date,Calving Interval,Number Calf 1,Number Calf 2,Sex Calf 1,Sex Calf 2,Days Since Calving,Last Calving Month,Calved Date,Delivery
48,-,3,2,22.07.31,12,Female,0,22.08.11,Holstein,4483,2,127,-,19.04.21,3.3,39.7,1209,3,Bred,1,22.07.19,43.2,269.9,1602,495,803,0,0,964,1624,1570,1602,495,1088,897,1044,1101,Inseminate,-,0,22.07.19,-,403,13009,-,Male,-,127,Apr,22.04.07,Hard
49,-,2,22,22.07.31,12,Female,0,22.07.27,Holstein,6955,2,106,-,19.04.21,3.3,39.7,1209,2,Bred,1,-,33.2,206.9,1126,390,751,229,0,55,1077,1150,1126,390,950,963,890,860,Inseminate,-,0,-,-,367,13068,-,Male,-,106,Apr,22.04.28,-
50,-,3,2,22.07.31,12,Female,0,22.08.09,Holstein,2609,2,123,-,19.04.21,3.3,39.7,1209,3,Bred,1,-,35.2,204.9,1190,389,937,182,0,683,1259,1259,1190,389,990,1018,993,1008,Inseminate,-,0,-,-,397,2727,-,Female,-,123,Apr,22.04.11,-
51,-,75,50,22.07.23,20,Female,240,21.12.15,Holstein,8112,1,464,-,19.04.23,3.3,39.7,1207,75,"Pregnant, Dry",5,22.03.07,-,-,490,0,917,806,958,955,934,893,490,0,996,1014,1004,1012,Conf. Step  Up,Yes,2,22.03.07,-,521,11987,-,Male,-,484,Apr,21.04.15,Easy
56,-,3,2,22.07.31,12,Female,0,22.05.21,Holstein,2788,2,137,-,19.04.25,3.3,39.6,1205,3,Pregnant (1st Preg Check),3,22.07.04,37.6,226.9,1266,421,677,0,78,1065,1290,1259,1266,421,966,938,919,906,2nd Pregn. Check,-,1,22.07.04,-,331,12968,-,Male,-,137,Mar,22.03.28,-
57,-,2,22,22.07.31,12,Female,0,22.07.27,Holstein,4613,2,100,-,19.04.29,3.3,39.5,1201,2,Bred,1,-,43.7,251.5,1386,478,786,508,0,0,1043,1460,1386,478,1071,1089,1081,1073,Inseminate,-,0,-,-,361,13090,-,Male,-,100,May,22.05.04,Easy
58,-,3,2,22.07.31,12,Female,0,22.06.24,Holstein,4589,2,145,-,19.04.30,3.3,39.4,1200,3,Pregnant (1st Preg Check),3,22.07.30,39,227.1,1367,404,346,0,463,1445,1533,1422,1367,404,991,1042,1009,958,2nd Pregn. Check,-,1,22.07.30,-,373,2674,-,Female,-,145,Mar,22.03.20,-
60,-,2,22,22.07.31,12,Female,0,22.08.03,Holstein,4602,2,71,-,19.05.01,3.3,39.4,1199,2,Bred,1,-,44.1,239.3,1435,451,919,764,510,0,0,1164,1435,451,944,932,917,967,Inseminate,-,0,-,-,339,13150,-,Male,-,71,Jun,22.06.02,Easy
62,-,80,75,22.08.02,10,Female,262,21.11.23,Holstein,4209,1,414,-,19.05.01,3.3,39.4,1199,80,"Pregnant, Dry",5,22.02.21,-,-,0,0,935,854,884,837,683,252,0,0,1013,996,966,1007,Conf. Step  Up,Yes,2,22.02.21,-,481,1793,-,Female,-,466,May,21.05.03,Easy
63,-,3,2,22.07.31,12,Female,0,22.05.18,Holstein,7536,2,141,-,19.05.03,3.3,39.3,1197,3,Pregnant (1st Preg Check),3,22.07.04,43.8,260.5,1264,473,360,0,237,1446,1571,1489,1264,473,1036,999,998,981,2nd Pregn. Check,-,1,22.07.04,-,332,12953,-,Male,-,141,Mar,22.03.24,Easy
64,-,5,4,22.07.31,12,Female,0,22.06.01,Holstein,4019,1,501,-,19.05.04,3.3,39.3,1196,5,Pregnant (1st Preg Check),3,22.07.14,33.1,190.5,1050,363,240,0,582,1001,1086,1062,1050,363,979,997,924,842,2nd Pregn. Check,-,1,22.07.14,22.03.07,706,1718,-,Female,-,501,Mar,21.03.29,Easy
67,-,2,22,22.07.31,12,Female,0,22.08.03,Holstein,882,2,108,-,19.05.04,3.3,39.3,1196,2,Bred,1,-,38.3,237.2,1349,439,738,660,0,79,1138,1353,1349,439,1127,1183,1104,1000,Inseminate,-,0,-,-,376,-,-,-,-,108,Apr,22.04.26,-
68,-,80,75,22.07.16,27,Female,279,21.11.06,Holstein,3527,1,374,-,19.05.06,3.3,39.2,1194,80,"Pregnant, Dry",5,22.02.07,-,-,0,0,1014,812,953,964,599,0,0,0,1167,1143,1036,1033,Conf. Step  Up,Yes,2,22.02.07,-,447,1824,-,Female,-,449,May,21.05.20,-
69,-,6,14,22.08.06,6,Female,182,22.02.11,Holstein,3556,1,355,-,19.05.06,3.3,39.2,1194,6,Pregnant,4,22.05.02,28.8,187.7,1117,355,1073,972,1083,1120,1115,1121,1117,355,1015,1151,1100,1146,Conf. Dry Off,Yes,2,22.05.02,-,450,2087,-,Female,-,355,Aug,21.08.22,-
71,-,7,6,22.08.04,8,Female,205,22.01.19,Holstein,1297,1,505,-,19.05.07,3.3,39.2,1193,7,Pregnant,4,22.04.11,19.4,105.1,848,229,898,838,931,949,984,962,848,229,965,944,929,959,Conf. Dry Off,Yes,2,22.04.11,-,577,11943,-,Male,-,505,Mar,21.03.25,Easy
73,-,2,22,22.07.31,12,Female,0,22.08.11,Holstein,4237,2,64,-,19.05.08,3.3,39.2,1192,2,Bred,1,-,38.6,242.8,1350,473,828,715,728,137,0,584,1350,473,987,982,959,969,Inseminate,-,0,-,-,340,-,-,-,-,64,Jun,22.06.09,Easy
74,-,199,190,22.07.02,41,Female,0,22.07.21,Holstein,-,1,449,Yes,19.05.08,3.3,39.2,1192,199,"Cull, Not Pregnant",1,22.05.19,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,22.05.19,-,704,1828,-,Female,-,449,May,21.05.20,Easy
76,-,3,2,22.07.31,12,Female,0,22.08.02,Holstein,925,2,134,-,19.05.10,3.3,39.1,1190,3,Bred,1,22.08.02,39.5,232.4,1424,417,122,0,34,1401,1549,1460,1424,417,1040,990,939,786,Inseminate,-,0,22.08.02,-,401,2696,-,Female,-,134,Mar,22.03.31,-
78,-,22,1,22.08.01,11,Female,0,-,Holstein,4943,2,30,-,19.05.13,3.2,39,1187,22,Fresh,0,-,37.1,222.7,635,417,781,720,771,756,103,0,635,417,837,864,823,826,Report Heat,-,0,-,-,-,13270,-,Male,-,30,Jul,22.07.13,-
81,-,80,75,22.08.02,10,Female,261,21.11.24,Holstein,3400,1,446,-,19.05.14,3.2,39,1186,80,"Pregnant, Dry",5,22.02.21,-,-,0,0,918,826,924,833,700,376,0,0,954,990,1002,971,Conf. Step  Up,Yes,2,22.02.21,-,508,11971,-,Male,-,492,Apr,21.04.07,Easy
82,-,3,2,22.07.31,12,Female,0,22.05.27,Holstein,3061,2,132,-,19.05.14,3.2,39,1186,3,Pregnant (1st Preg Check),3,22.07.11,45.2,246.9,1474,471,849,0,0,1334,1671,1510,1474,471,1140,1105,1100,1139,2nd Pregn. Check,-,1,22.07.11,-,332,12989,-,Male,-,132,Apr,22.04.02,Easy
84,-,2,70,22.08.06,6,Female,0,-,Holstein,4533,2,50,-,19.05.15,3.2,38.9,1185,2,Fresh,1,-,36.2,215.2,1166,359,689,630,545,0,0,230,1166,359,839,808,831,771,Inseminate,-,0,-,-,-,2892,-,Female,-,50,Jun,22.06.23,-
85,-,3,2,22.07.31,12,Female,0,22.07.13,Holstein,5253,2,116,-,19.05.17,3.2,38.9,1183,3,Bred,1,-,40.3,244.3,1372,459,1049,489,0,436,1521,1508,1372,459,913,1001,1032,1062,Inseminate,-,0,-,-,363,2745,-,Female,-,116,Apr,22.04.18,-
88,-,80,75,22.08.02,10,Female,261,21.11.24,Holstein,1828,1,449,-,19.05.18,3.2,38.8,1182,80,"Pregnant, Dry",5,22.02.21,-,-,0,0,734,643,728,715,606,360,0,0,910,893,845,778,Conf. Step  Up,Yes,2,22.02.21,-,511,1727,-,Female,-,495,Apr,21.04.04,-
90,-,2,22,22.07.31,12,Female,0,22.07.27,Holstein,13244,2,76,-,19.05.19,3.2,38.8,1181,2,Bred,1,-,41.6,259.3,1423,469,1016,877,469,0,88,1366,1423,469,925,1032,1000,1029,Inseminate,-,0,-,-,337,2832,-,Female,-,76,May,22.05.28,Easy
94,-,2,22,22.07.31,12,Female,0,-,Holstein,3479,2,47,-,19.05.22,3.2,38.7,1178,2,Fresh,1,-,36.4,217.2,965,395,1069,894,993,656,7,88,965,395,1011,1098,1069,1162,Inseminate,-,0,-,-,-,2901,-,Female,-,47,Jun,22.06.26,-
95,-,2,22,22.07.31,12,Female,0,-,Holstein,5717,2,60,-,19.05.22,3.2,38.7,1178,2,Fresh,1,-,41.3,258.7,1439,485,924,756,491,0,0,627,1439,485,993,1021,977,992,Inseminate,-,0,-,-,-,2866,-,Female,-,60,Jun,22.06.13,Easy
97,-,80,75,22.08.02,10,Female,259,21.11.26,Holstein,660,1,452,-,19.05.23,3.2,38.7,1177,80,"Pregnant, Dry",5,22.02.21,-,-,28,0,894,852,930,964,843,696,28,0,921,879,876,878,Conf. Step  Up,Yes,2,22.02.21,-,511,1734,-,Female,-,493,Apr,21.04.06,Easy
98,-,80,75,22.08.10,2,Female,250,21.12.05,Holstein,14606,1,444,-,19.05.23,3.2,38.7,1177,80,"Pregnant, Dry",5,22.02.28,-,-,160,0,707,706,825,865,850,776,160,0,969,966,915,831,Conf. Step  Up,Yes,2,22.02.28,-,504,1762,-,Female,-,477,Apr,21.04.22,Easy
99,-,2,22,22.07.31,12,Female,0,22.08.10,Holstein,7096,2,82,-,19.05.25,3.2,38.6,1175,2,Bred,1,-,42.8,263.5,1456,492,879,771,249,0,387,1386,1456,492,996,1007,1006,988,Inseminate,-,0,-,-,357,13116,-,Male,-,82,May,22.05.22,Easy
100,-,75,50,22.07.23,20,Female,239,21.12.16,Holstein,7921,1,468,-,19.05.25,3.2,38.6,1175,75,"Pregnant, Dry",5,22.03.07,-,-,497,0,1023,916,1059,1059,1088,956,497,0,1181,1159,1105,1044,Conf. Step  Up,Yes,2,22.03.07,-,526,11983,-,Male,-,488,Apr,21.04.11,Easy
101,-,80,75,22.07.16,27,Female,280,21.11.05,Holstein,4576,1,318,-,19.05.25,3.2,38.6,1175,80,"Pregnant, Dry",5,22.01.24,-,-,0,0,956,824,897,914,631,0,0,0,1067,990,970,996,Conf. Step  Up,Yes,2,22.01.24,-,390,1931,-,Female,-,393,Jul,21.07.15,Easy
102,-,2,22,22.07.31,12,Female,0,-,Holstein,1481,2,62,-,19.05.25,3.2,38.6,1175,2,Fresh,1,-,43.1,268.1,1407,504,842,653,532,0,0,693,1407,504,934,950,907,892,Inseminate,-,0,-,-,-,2857,-,Female,-,62,Jun,22.06.11,-
104,-,3,2,22.07.31,12,Female,0,22.05.25,Holstein,4593,2,130,-,19.05.27,3.2,38.5,1173,3,Pregnant (1st Preg Check),3,22.07.11,35.6,221.7,1302,421,368,0,0,1015,1439,1380,1302,421,893,880,873,777,2nd Pregn. Check,-,1,22.07.11,-,328,2710,-,Female,-,130,Apr,22.04.04,Easy
106,-,2,22,22.07.31,12,Female,0,22.07.13,Holstein,211,2,115,-,19.05.27,3.2,38.5,1173,2,Bred,1,-,40,222.5,1318,413,873,282,0,401,1447,1376,1318,413,846,955,925,920,Inseminate,-,0,-,-,362,-,-,-,-,115,Apr,22.04.19,Easy
107,-,2,22,22.07.31,12,Female,0,22.08.10,Holstein,3025,2,62,-,19.05.28,3.2,38.5,1172,2,Bred,1,-,42,261.6,1340,483,668,569,334,0,0,665,1340,483,895,931,824,644,Inseminate,-,0,-,-,337,13166,-,Male,-,62,Jun,22.06.11,Easy
108,-,75,50,22.07.23,20,Female,233,21.12.22,Holstein,375,1,443,-,19.05.27,3.2,38.5,1173,75,"Pregnant, Dry",5,22.03.15,-,-,471,0,867,757,863,870,832,800,471,0,918,951,951,1035,Conf. Step  Up,Yes,2,22.03.15,-,507,12027,-,Male,-,463,May,21.05.06,-
109,-,3,2,22.07.31,12,Female,0,22.05.19,Holstein,1517,2,139,-,19.05.29,3.2,38.5,1171,3,Pregnant (1st Preg Check),3,22.07.04,22.7,212.7,1378,425,564,0,196,1383,1429,1424,1378,425,778,822,822,893,2nd Pregn. Check,-,1,22.07.04,-,331,12959,-,Male,-,139,Mar,22.03.26,-
111,-,6,14,22.08.10,2,Female,133,22.04.01,Holstein,9032,1,458,-,19.05.30,3.2,38.4,1170,6,Pregnant,4,22.06.20,20.4,121.2,590,219,660,632,729,738,712,640,590,219,812,862,805,625,Conf. Dry Off,Yes,2,22.06.20,-,602,1809,-,Female,-,458,May,21.05.11,Easy
112,-,3,2,22.07.31,12,Female,0,22.08.09,Holstein,6523,2,123,-,19.05.30,3.2,38.4,1170,3,Bred,1,22.08.09,40.1,243,1447,460,848,156,0,585,1330,1396,1447,460,1082,1100,1045,1057,Inseminate,-,0,22.08.09,-,397,13013,-,Male,-,123,Apr,22.04.11,-
113,-,2,22,22.07.31,12,Female,0,22.07.11,Holstein,910,2,113,-,19.05.30,3.2,38.4,1170,2,Bred,1,-,40.8,246.1,1370,458,922,469,0,370,1214,1329,1370,458,932,963,914,947,Inseminate,-,0,-,-,358,13042,-,Male,-,113,Apr,22.04.21,-
114,-,75,50,22.07.23,20,Female,240,21.12.15,Holstein,5817,1,454,-,19.05.31,3.2,38.4,1169,75,"Pregnant, Dry",5,22.03.07,-,-,473,0,986,747,915,963,870,943,473,0,929,914,913,1006,Conf. Step  Up,Yes,2,22.03.07,-,511,12010,-,Male,-,474,Apr,21.04.25,Easy
118,-,80,75,22.08.02,10,Female,258,21.11.27,Holstein,7243,1,440,-,19.06.01,3.2,38.4,1168,80,"Pregnant, Dry",5,22.02.21,-,-,0,0,973,918,1023,1003,758,340,0,0,995,946,939,1054,Conf. Step  Up,Yes,2,22.02.21,-,505,1747,-,Female,-,486,Apr,21.04.13,Easy
119,-,2,22,22.07.31,12,Female,0,-,Holstein,107,2,55,-,19.06.02,3.2,38.3,1167,2,Fresh,1,-,43.1,277.7,1451,513,1084,995,1014,316,0,495,1451,513,1025,1022,1025,1055,Inseminate,-,0,-,-,-,13190,-,Male,-,55,Jun,22.06.18,-
122,-,2,22,22.07.31,12,Female,0,22.07.21,Holstein,1859,2,95,-,19.06.04,3.2,38.3,1165,2,Bred,1,-,46.8,271.1,1452,500,1099,934,252,0,682,1391,1452,500,1141,1224,1101,1104,Inseminate,-,0,-,-,350,-,-,-,-,95,May,22.05.09,Hard
123,-,7,6,22.07.20,23,Female,118,22.04.16,Holstein,6496,1,501,-,19.06.04,3.2,38.3,1165,7,Pregnant,4,22.07.16,15.5,77.7,573,147,780,696,692,685,700,611,573,147,793,777,716,766,Conf. Dry Off,Yes,2,22.07.16,-,660,11946,-,Male,-,501,Mar,21.03.29,Easy
124,-,80,75,22.07.23,20,Female,264,21.11.21,Holstein,17,1,430,-,19.06.05,3.2,38.2,1164,80,"Pregnant, Dry",5,22.02.21,-,-,0,0,817,670,814,771,648,371,0,0,784,771,776,849,Conf. Step  Up,Yes,2,22.02.21,-,489,1784,-,Female,-,476,Apr,21.04.23,Easy
128,-,3,2,22.07.31,12,Female,0,22.05.31,Holstein,9155,2,139,-,19.06.05,3.2,38.2,1164,3,Pregnant (1st Preg Check),3,22.07.14,45.2,261.5,1479,484,309,0,196,1422,1544,1409,1479,484,1090,1139,1076,954,2nd Pregn. Check,-,1,22.07.14,-,343,12957,-,Male,-,139,Mar,22.03.26,-
133,-,1,80,22.08.01,11,Female,0,-,Holstein,1504,2,12,-,19.06.08,3.2,38.1,1161,1,Fresh,0,-,37,215.2,0,327,1015,937,1018,972,779,60,0,327,1032,1171,1150,1161,Report Heat,-,0,-,-,-,13337,-,Male,-,12,Jul,22.07.31,-
135,-,12,11,22.08.10,2,Female,0,22.08.09,Holstein,4497,2,115,-,19.06.10,3.2,38.1,1159,12,Bred,1,-,38.8,227.1,1306,409,885,434,0,406,1437,1380,1306,409,963,942,894,934,Inseminate,-,0,-,-,389,2752,-,Female,-,115,Apr,22.04.19,-
136,-,199,190,22.08.02,10,Female,0,22.06.23,Holstein,-,1,456,Yes,19.06.10,3.2,38.1,1159,199,"Cull, Not Pregnant",2,22.05.30,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pregn. Check,-,0,22.05.30,-,683,1812,-,Female,-,456,May,21.05.13,Hard
137,-,2,22,22.07.31,12,Female,0,22.06.23,Holstein,4016,2,115,-,19.06.11,3.2,38,1158,2,Pregnant (1st Preg Check),3,22.07.30,41.6,258.2,1384,484,778,253,0,360,1323,1400,1384,484,919,969,906,868,2nd Pregn. Check,-,1,22.07.30,-,342,13040,-,Male,-,115,Apr,22.04.19,Easy
138,-,3,2,22.07.31,12,Female,0,22.08.10,Holstein,3203,2,116,-,19.06.11,3.2,38,1158,3,Bred,1,22.07.23,39.3,231.5,1325,438,680,187,0,404,1265,1356,1325,438,938,905,854,846,Inseminate,-,0,22.07.23,-,391,2743,-,Female,-,116,Apr,22.04.18,-
141,-,80,75,22.07.16,27,Female,278,21.11.07,Holstein,8399,1,377,-,19.06.15,3.2,37.9,1154,80,"Pregnant, Dry",5,22.02.07,-,-,0,0,777,686,703,503,6,0,0,0,917,930,865,875,Conf. Step  Up,Yes,2,22.02.07,-,479,1757,-,Female,-,480,Apr,21.04.19,Easy
143,-,80,75,22.07.23,20,Female,265,21.11.20,Holstein,5880,1,455,-,19.06.15,3.2,37.9,1154,80,"Pregnant, Dry",5,22.02.21,-,-,0,0,944,842,963,909,788,477,0,0,1071,1070,1021,998,Conf. Step  Up,Yes,2,22.02.21,-,513,11947,-,Male,-,501,Mar,21.03.29,Easy
144,-,2,22,22.07.31,12,Female,0,22.08.10,Holstein,6501,2,86,-,19.06.15,3.2,37.9,1154,2,Bred,1,21.11.08,46.1,258.4,1400,477,983,800,434,0,428,1296,1400,477,1067,1075,913,1063,Inseminate,-,0,21.11.08,-,361,2817,-,Female,-,86,May,22.05.18,Easy
145,-,2,22,22.07.31,12,Female,0,-,Holstein,1474,2,61,-,19.06.16,3.2,37.9,1153,2,Fresh,1,-,38.2,249.3,1312,463,682,569,343,0,0,689,1312,463,910,913,784,694,Inseminate,-,0,-,-,-,13170,-,Male,-,61,Jun,22.06.12,Easy
146,-,22,1,22.08.10,2,Female,0,-,Holstein,5877,2,21,-,19.06.18,3.2,37.8,1151,22,Fresh,0,-,44.2,230.7,345,446,924,821,907,821,102,0,345,446,974,946,891,878,Report Heat,-,0,-,-,-,-,-,-,-,21,Jul,22.07.22,Easy
147,-,2,22,22.07.31,12,Female,0,-,Holstein,4269,2,69,-,19.06.18,3.2,37.8,1151,2,Fresh,1,-,37.8,219.5,1186,403,1062,925,912,175,0,799,1186,403,1009,1042,1007,1078,Inseminate,-,0,-,-,-,2846,-,Female,-,69,Jun,22.06.04,Easy
148,-,2,22,22.07.31,12,Female,0,-,Holstein,6798,2,72,-,19.06.19,3.1,37.8,1150,2,Fresh,1,-,40.4,236.7,1328,452,822,690,523,0,4,1007,1328,452,903,921,888,915,Inseminate,-,0,-,-,-,13141,-,Male,-,72,Jun,22.06.01,-
149,-,2,22,22.07.31,12,Female,0,22.07.20,Holstein,4051,2,109,-,19.06.20,3.1,37.7,1149,2,Bred,1,-,32.3,234.8,1257,442,881,446,0,160,1212,1266,1257,442,922,909,890,895,Inseminate,-,0,-,-,363,2772,-,Female,-,109,Apr,22.04.25,-
150,-,190,99,22.08.08,4,Female,0,-,Holstein,-,1,471,Yes,19.06.20,3.1,37.7,1149,190,"Cull, Not Pregnant",1,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inseminate,-,0,-,-,-,-,-,-,-,471,Apr,21.04.28,-
152,-,22,1,22.08.01,11,Female,0,-,Holstein,4942,2,31,-,19.06.22,3.1,37.7,1147,22,Fresh,0,-,45.2,253.6,756,473,1134,991,1059,875,8,0,756,473,1074,1108,1084,1144,Report Heat,-,0,-,-,-,13261,-,Male,-,31,Jul,22.07.12,Easy
153,-,2,22,22.07.31,12,Female,0,-,Holstein,513,2,55,-,19.06.22,3.1,37.7,1147,2,Fresh,1,-,47.2,300.9,1468,568,1057,904,912,455,0,428,1468,568,1158,1163,1110,1207,Inseminate,-,0,-,-,-,13196,-,Male,-,55,Jun,22.06.18,Easy
154,-,2,22,22.07.31,12,Female,0,-,Holstein,9642,2,60,-,19.06.22,3.1,37.7,1147,2,Fresh,1,-,47.2,281.7,1371,511,981,870,888,308,0,555,1371,511,978,983,920,1010,Inseminate,-,0,-,-,-,13174,-,Male,-,60,Jun,22.06.13,Easy
155,-,2,22,22.07.31,12,Female,0,22.07.27,Holstein,8028,2,101,-,19.06.23,3.1,37.7,1146,2,Bred,1,-,26.5,200,1251,400,939,704,227,0,960,1249,1251,400,953,976,929,955,Inseminate,-,0,-,-,362,2790,-,Female,-,101,May,22.05.03,Easy
156,-,7,6,22.08.04,8,Female,209,22.01.15,Holstein,9439,1,460,-,19.06.23,3.1,37.7,1146,7,Pregnant,4,22.04.11,24.6,149.5,947,288,1056,803,978,977,1005,975,947,288,1022,1034,1031,1080,Conf. Dry Off,Yes,2,22.04.11,-,528,1804,-,Female,-,460,May,21.05.09,Easy
158,-,7,14,22.06.07,66,Female,163,22.03.02,Holstein,7698,1,431,-,19.06.24,3.1,37.6,1145,7,Pregnant,4,22.05.30,13.1,79.9,436,150,746,685,739,737,616,481,436,150,777,782,729,766,Conf. Dry Off,Yes,2,22.05.30,-,545,1861,-,Female,-,431,Jun,21.06.07,Easy
159,-,3,2,22.07.31,12,Female,0,22.08.03,Holstein,5928,2,121,-,19.06.24,3.1,37.6,1145,3,Bred,1,-,40.3,233.2,1305,429,799,254,0,570,1329,1281,1305,429,965,1021,927,951,Inseminate,-,0,-,-,389,13020,-,Male,-,121,Apr,22.04.13,-
162,-,5,4,22.07.31,12,Female,131,22.04.03,Holstein,6686,1,405,-,19.06.26,3.1,37.6,1143,5,Pregnant,4,22.07.02,27.9,158.3,797,285,851,769,885,848,792,769,797,285,996,936,806,956,Conf. Dry Off,Yes,2,22.07.02,-,551,1899,-,Female,-,405,Jul,21.07.03,-
163,-,2,22,22.07.31,12,Female,0,-,Holstein,4303,2,58,-,19.06.26,3.1,37.6,1143,2,Fresh,1,-,37.6,229.1,1119,419,564,505,306,0,0,425,1119,419,720,721,683,646,Inseminate,-,0,-,-,-,13181,-,Male,-,58,Jun,22.06.15,Easy
165,-,75,50,22.07.16,27,Female,247,21.12.08,Holstein,3691,1,401,-,19.06.26,3.1,37.6,1143,75,"Pregnant, Dry",5,22.02.28,-,-,272,0,1098,1017,1113,1094,1065,797,272,0,946,995,987,1107,Conf. Step  Up,Yes,2,22.02.28,-,458,1864,-,Female,-,428,Jun,21.06.10,Easy
166,-,3,2,22.07.31,12,Female,0,22.05.19,Holstein,4421,2,152,-,19.06.27,3.1,37.5,1142,3,Pregnant (1st Preg Check),3,22.07.04,36.6,227.1,1347,424,495,0,682,1397,1447,1232,1347,424,1035,1025,818,881,2nd Pregn. Check,-,1,22.07.04,-,344,-,-,Female,-,152,Mar,22.03.13,Easy
